Sample no.,Plant family,Plant species,Plant Name,Exotic/Indigenous,Locality ,Latitude,Longitude,Altitude (m) ,Köppen-Geiger climate classification,Local Municipality ,District Municipality,Province,Tree/ground,Maturity stage,Date sampled,No. fruit ,Weight (gram),C-rosa-sensu-lato-count 
16,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,18/12/2015,213,275.4,0
17,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,15/12/2016,106,217,
18,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,15/12/2016,109,248,
19,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,22/12/2016,691,1714.2,
20,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,22/12/2016,109,302.8,
21,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,22/12/2016,100,114.2,
22,Myrtaceae,Syzygium cordatum Hochst. ex Krauss,Water berry,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Marure,04/01/2017,70,136.7,
1,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,29/11/2010,136,250.8,0
2,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,02/02/2012,100,466.5,1
3,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,13/02/2012,117,452,1
4,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,03/01/2014,124,412.4,0
5,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,14/01/2014,100,454.4,0
6,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,20/01/2014,177,665.6,0
7,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Constantia ,-23.644335,30.704908,448,Bsh,Ba-Phalaborwa,Mopani,Limpopo,Tree,Mature,06/01/2015,83,209.4,0
8,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,07/01/2015,25,92.9,0
9,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,08/01/2015,73,245.8,0
10,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,13/01/2015,50,108.8,0
11,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Constantia,-23.644335,30.704908,448,Bsh,Ba-Phalaborwa,Mopani,Limpopo,Tree,Mature,14/01/2015,67,197.4,0
12,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,15/01/2015,40,153.7,0
13,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,20/01/2015,64,227.1,0
14,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Constantia,-23.644335,30.704908,448,Bsh,Ba-Phalaborwa,Mopani,Limpopo,Tree,Mature,21/01/2015,72,156.6,0
15,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,26/01/2015,127,413.4,0
16,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,27/01/2015,20,37.2,0
17,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,30/01/2015,97,324.5,7
18,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,04/02/2015,52,178.9,4
19,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,06/02/2015,100,315,0
20,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,Deerpark,-23.770598,30.30118,620,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,09/02/2015,66,249.5,0
21,Myrtaceae,Syzygium guineense (Willd.) DC,Water pear,Indigenous,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,04/01/2017,33,76.6,
1,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,29/11/2010,37,926.2,51
2,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,05/01/2011,34,854.8,201
3,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,01/12/2011,10,208.3,27
4,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,01/12/2011,50,1331.6,275
5,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,07/12/2012,320,9779.9,192
6,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,10/01/2013,55,1187,32
7,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2013,16,554.4,3
8,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2013,60,1498.2,326
9,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2013,83,2080.4,66
10,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,18/12/2013,63,2061.5,65
11,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,15/01/2014,20,590.1,32
12,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2014,37,1013.8,18
13,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2014,14,589.2,64
14,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2014,44,1290,30
15,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/12/2014,12,425.2,33
16,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,27/11/2015,44,848,44
17,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,17/12/2015,37,780.6,8
18,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,27/09/2016,18,338,
19,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,32,363.1,
20,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,31,593.3,
21,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,46,772.4,
22,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,33,571.4,
23,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,20,342.8,
24,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,22/12/2016,19,397,
25,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,04/01/2017,15,233.5,
26,Myrtaceae,Syzygium jambos (L.) Alston,"Jambos, Rose apple",Exotic,ARC-TSC Burgershall,-25.10711,31.07727,757,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,04/01/2017,14,263.7,
1,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,13/01/2012,119,367.1,0
2,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,13/01/2012,137,255.7,0
3,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,02/02/2012,50,122.8,0
4,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,31/01/2013,156,385.9,0
5,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,13/01/2014,211,491.6,0
6,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,14/05/2014,100,141.3,0
7,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,20/05/2014,100,250.5,0
8,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,30/05/2014,70,138.8,0
9,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,26/01/2015,80,253.6,0
10,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,04/02/2015,50,142.3,0
11,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,12/02/2015,100,120.4,0
12,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,03/06/2015,100,179.5,0
13,Myrtaceae,Syzygium paniculatum Gaertn.,Magenta cherry,,Letaba Estates,-23.859644,30.298042,557,Cwa,Greater Tzaneen,Mopani,Limpopo,Tree,Mature,10/06/2015,91,196.2,0
1,Myrtaceae,Syzygium samarangense (Blume) Merr. & L.M.Perry ,"Java apple, Wax jumbo",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,07/02/2016,19,349,99
2,Myrtaceae,Syzygium samarangense (Blume) Merr. & L.M.Perry ,"Java apple, Wax jumbo",Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,01/03/2016,30,755.3,102
